Date,Price,Open,High,Low,Vol,Change
2015-08-07,2.772119999,2.831619978,3.536609888,2.521120071,164329,
2015-08-08,0.753324986,2.793760061,2.798810005,0.714725018,674188,-72.82495035309617
2015-08-09,0.701897025,0.706135988,0.879809976,0.629190981,532170,-6.826796131251644
2015-08-10,0.708447993,0.713989019,0.729853988,0.636546016,405283,0.9333232321365292
2015-08-11,1.067860007,0.708087027,1.131410003,0.663235009,1463100,50.73230745958226
2015-08-12,1.217440009,1.058750033,1.28994,0.883607984,2150620,14.007454256127039
2015-08-13,1.827669978,1.222239971,1.965070009,1.171990037,4068680,50.12402783618393
2015-08-14,1.827870011,1.81092,2.261879921,1.754750013,4637030,0.010944700214343683
2015-08-15,1.688899994,1.802889943,1.877239943,1.570979953,2554360,-7.602839160535901
2015-08-16,1.566030026,1.684350014,1.695240021,1.089810014,3550790,-7.275147636716728
2015-08-17,1.203609943,1.58118999,1.58118999,1.185340047,1942830,-23.14260116236111
2015-08-18,1.087049961,1.215299964,1.331159949,1.087049961,1485680,-9.68419899469043
2015-08-19,1.258859992,1.16692996,1.317989945,1.16692996,1486240,15.805164174970265
2015-08-20,1.464920044,1.251180053,1.533300042,1.248329997,2843760,16.36878233556571
2015-08-21,1.395290017,1.477519989,1.556419969,1.352800012,2020970,-4.753162282487011
2015-08-22,1.379230022,1.396289945,1.476410031,1.352679968,948310,-1.1510148287687483
2015-08-23,1.352589965,1.375,1.409700036,1.297770023,1589300,-1.9315166125349892
2015-08-24,1.231269956,1.345589995,1.362779975,1.231269956,924920,-8.969459491738874
2015-08-25,1.140190005,1.228610039,1.241819978,1.12864995,1307180,-7.397236532587003
2015-08-26,1.159980059,1.132789969,1.202479959,1.061830044,1056750,1.7356803614499317
2015-08-27,1.147699952,1.169810057,1.188830018,1.137290001,686662,-1.0586481125017366
2015-08-28,1.191380024,1.147660017,1.207790017,1.120499969,721872,3.8058790473836535
2015-08-29,1.182549954,1.193529964,1.207209945,1.149489999,375377,-0.7411631739764779
2015-08-30,1.319270015,1.182989955,1.367990017,1.170609951,1337650,11.56146178328803
2015-08-31,1.358240008,1.321380019,1.396149993,1.201009989,1447180,2.953905762801723
