timestamp,close
2024-01-01,2352.327940665
2023-12-31,2281.4713016936
2023-12-30,2292.0653348352
2023-12-29,2300.6907683964
2023-12-28,2347.5660660267
2023-12-27,2378.7401102717
2023-12-26,2231.4653358627
2023-12-25,2272.5616672175
2023-12-24,2265.6921427011
2023-12-23,2309.0463748006
2023-12-22,2326.5249573928
2023-12-21,2239.5424133212
2023-12-20,2201.9114564016
2023-12-19,2177.8726106679
2023-12-18,2217.2733489138
2023-12-17,2196.4811590731
2023-12-16,2226.9265198074
2023-12-15,2219.3373100011
2023-12-14,2316.5790072611
2023-12-13,2260.6487681131
2023-12-12,2202.0379684959
2023-12-11,2224.5787846632
2023-12-10,2352.4627556082
2023-12-09,2341.1752332393
2023-12-08,2358.7319393053
2023-12-07,2357.5796331574
2023-12-06,2231.6613482543
2023-12-05,2293.8416889044
2023-12-04,2243.2159138525
2023-12-03,2193.691554531
2023-12-02,2165.7040009485
2023-12-01,2087.1400074286
2023-11-30,2052.5560758309
2023-11-29,2029.9291808773
2023-11-28,2049.3381283931
2023-11-27,2027.4172988226
2023-11-26,2063.2862406283
2023-11-25,2084.413070743
2023-11-24,2081.1520427333
2023-11-23,2062.2107269666
2023-11-22,2064.4252149797
2023-11-21,1937.0668029372
2023-11-20,2022.239127894
2023-11-19,2013.2044472699
2023-11-18,1963.2850130444
2023-11-17,1961.2807205392
2023-11-16,1960.8815523099
2023-11-15,2060.4084021182
2023-11-14,1979.0526719014
2023-11-13,2055.2652897926
2023-11-12,2045.1870407473
2023-11-11,2052.7138939829
2023-11-10,2078.2897139105
2023-11-09,2120.5609463695
2023-11-08,1889.3223471996
2023-11-07,1888.124211378
2023-11-06,1899.837364376
2023-11-05,1894.1576842261
2023-11-04,1857.6985957472
2023-11-03,1832.795212562
2023-11-02,1800.6210046347
2023-11-01,1847.0897463034
2023-10-31,1816.4589317668
2023-10-30,1810.0885684745
2023-10-29,1795.5459625534
2023-10-28,1776.6181755723
2023-10-27,1780.0453464483
2023-10-26,1804.0393004004
2023-10-25,1787.3976241893
2023-10-24,1784.4374604858
2023-10-23,1765.3826429207
2023-10-22,1663.4299449441
2023-10-21,1629.304476737
2023-10-20,1604.6668665067
2023-10-19,1567.4570729268
2023-10-18,1563.7498838126
2023-10-17,1565.4395660008
