Date,Price,Open,High,Low,Vol.,Change,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average,10-day SMA,20-day SMA,50-day SMA,12-day EMA,26-day EMA,50-day EMA
2023-05-05,1993.33,1877.06,1996.64,1875.66,589.05,6.19,1877.06,1896.48,1925.0373333333332,1893.185714285714,1891.8300000000004,1919.4,1870.6108,1903.4508700562924,1896.5753687255394,1850.9447868720256
2023-05-06,1896.48,1993.33,2013.10,1868.09,658.63,-4.86,1993.33,1870.99,1925.8416666666667,1891.5685714285717,1894.873,1908.2594999999997,1872.7528,1902.3784285091706,1896.5683043754996,1852.7304815044954
2023-05-07,1870.99,1896.48,1931.39,1870.94,441.65,-1.34,1896.48,1847.48,1926.0926666666667,1891.8700000000001,1891.091,1898.0720000000001,1874.9986,1897.5494395077599,1894.6736151624996,1853.446541053339
2023-05-08,1847.48,1871.03,1883.54,1813.63,667.82,-1.26,1870.99,1846.56,1926.0443333333335,1894.26,1886.725,1885.279,1876.3587999999997,1889.8464488142586,1891.1777918171292,1853.2125590512474
2023-05-09,1846.56,1847.48,1858.57,1832.05,318.79,-0.05,1847.48,1840.92,1925.633,1890.9485714285713,1880.6009999999999,1880.8084999999999,1878.6437999999998,1883.1869951505264,1887.8727702010456,1852.9516743825711
2023-05-10,1840.92,1846.56,1886.83,1797.07,685.11,-0.31,1846.56,1794.71,1923.3183333333332,1881.8314285714284,1877.8049999999998,1875.7185000000002,1879.3914000000002,1876.6843805119838,1884.3947872231904,1852.4798440146274
2023-05-11,1794.71,1840.92,1841.04,1774.30,548.42,-2.51,1840.92,1807.31,1920.1466666666665,1870.0671428571427,1874.2010000000002,1872.9635000000003,1880.596,1864.072937356294,1877.7514696511023,1850.2143599356223
2023-05-12,1807.31,1794.71,1812.46,1741.48,598.87,0.7,1794.71,1794.95,1916.5043333333335,1843.492857142857,1867.9579999999999,1869.6315,1880.4605999999999,1855.3401777630181,1872.53358301028,1848.5318360165784
2023-05-13,1794.95,1807.31,1814.55,1786.23,223.65,-0.68,1807.31,1799.36,1909.2656666666667,1828.9885714285715,1856.979,1866.2765000000004,1881.3744,1846.0493811840925,1866.7866509354442,1846.4305875453401
2023-05-14,1799.36,1795.11,1822.93,1791.86,229.74,0.25,1794.95,1817.11,1899.245,1818.7557142857142,1849.209,1864.1504999999997,1882.5148,1838.866399463463,1861.7920841994855,1844.5846821514053
2023-05-15,1817.11,1799.36,1845.27,1786.61,405.84,0.99,1799.36,1823.98,1890.1290000000001,1814.4171428571428,1831.5870000000002,1861.7085,1883.3757999999998,1835.5192610844688,1858.482300184709,1843.507243635664
2023-05-16,1823.98,1817.11,1830.01,1797.60,325.77,0.38,1817.11,1821.73,1880.2853333333333,1811.1914285714286,1824.337,1859.605,1885.5624000000003,1833.7439901483967,1855.926574245101,1842.741469375442
2023-05-17,1821.73,1823.98,1834.44,1785.78,376.26,-0.12,1823.98,1800.99,1871.8516666666667,1808.4500000000003,1819.411,1855.2510000000002,1886.5444,1831.8956839717202,1853.3934946713898,1841.9174901842482
2023-05-18,1800.99,1822.12,1831.51,1774.77,311.24,-1.14,1821.73,1812.32,1861.7733333333333,1809.347142857143,1814.762,1850.7435,1886.6988000000001,1827.1409633606863,1849.511754325361,1840.3124905691798
2023-05-19,1812.32,1800.95,1829.33,1796.99,253.50,0.63,1800.99,1819.68,1857.6516666666664,1810.0628571428572,1811.3380000000002,1845.9695,1887.0734,1824.86081515135,1846.7568095605193,1839.2147458409765
2023-05-20,1819.68,1812.32,1828.06,1807.08,134.46,0.41,1812.32,1804.89,1853.5503333333331,1813.5957142857144,1809.214,1843.5095000000001,1887.0346000000002,1824.0637666665268,1844.751119963444,1838.4486773766246
2023-05-21,1804.89,1819.66,1827.47,1799.03,170.05,-0.81,1819.68,1817.19,1852.0529999999999,1814.3857142857144,1810.232,1842.2165,1886.7168000000001,1821.1139564101381,1841.7984444105962,1837.1326508128354
2023-05-22,1817.19,1804.89,1827.38,1792.35,250.27,0.68,1804.89,1854.08,1850.161,1814.3971428571429,1811.22,1839.5890000000004,1887.1604,1820.5102708085785,1839.9755966764778,1836.3505860750772
2023-05-23,1854.08,1817.19,1868.89,1815.41,428.05,2.03,1817.19,1799.91,1849.8953333333334,1818.697142857143,1817.1330000000003,1837.0559999999998,1888.0265999999997,1825.6748445303356,1841.020367293035,1837.045857209388
2023-05-24,1799.91,1854.08,1854.08,1781.70,441.64,-2.92,1854.08,1805.69,1848.4963333333333,1815.5800000000002,1817.188,1833.1985,1886.6144,1821.7110222948993,1837.9751549009582,1835.5895490835296
2023-05-25,1805.69,1799.91,1817.05,1764.92,370.60,0.32,1799.91,1827.80,1846.4876666666667,1816.2514285714285,1816.0459999999998,1823.8165000000001,1884.549,1819.2462496341454,1835.5836619453316,1834.4170177469207
2023-05-26,1827.80,1805.62,1837.39,1798.10,290.89,1.22,1805.69,1829.91,1845.2126666666668,1818.462857142857,1816.4279999999999,1820.3825000000002,1883.6580000000001,1820.5622112288922,1835.0070943938256,1834.1575268548847
2023-05-27,1829.91,1827.80,1835.94,1817.35,147.46,0.12,1827.80,1908.35,1842.5826666666665,1819.9242857142856,1817.2459999999999,1818.3285,1882.987,1822.0003325782934,1834.6295318461348,1833.990957174301
2023-05-28,1908.35,1829.91,1914.92,1824.70,401.09,4.29,1829.91,1892.61,1843.1563333333331,1834.7042857142858,1827.982,1821.372,1884.1754,1835.2848967970176,1840.0903072649396,1836.9069980694264
2023-05-29,1892.61,1908.37,1925.74,1878.33,338.07,-0.83,1908.35,1900.59,1842.65,1845.4785714285713,1836.011,1823.6745000000003,1884.8496,1844.1041434436302,1843.980654874944,1839.0914295176842
2023-05-30,1900.59,1892.61,1915.91,1882.97,288.67,0.42,1892.61,1873.63,1843.7069999999999,1852.122857142857,1844.102,1826.658,1884.6542,1852.7942752215333,1848.1739396990224,1841.5031381640495
2023-05-31,1873.63,1900.59,1906.21,1852.00,337.87,-1.42,1900.59,1861.77,1845.1363333333331,1862.6542857142856,1850.976,1830.604,1884.3296,1855.9997713412974,1850.0595737953913,1842.7630150987927
2023-06-01,1861.77,1873.62,1888.07,1846.23,286.98,-0.63,1873.63,1907.10,1844.8706666666667,1870.6657142857143,1855.434,1833.327,1883.2334,1856.8874988272519,1850.9270127735106,1843.5083870557028
2023-06-02,1907.10,1861.77,1910.01,1847.84,329.16,2.43,1861.77,1892.05,1844.9493333333335,1881.9942857142855,1860.736,1838.9344999999998,1881.1331999999998,1864.6124990076746,1855.0879747902875,1846.0021757986165
2023-06-03,1892.05,1907.10,1907.90,1884.17,157.10,-0.79,1907.10,1890.04,1845.4489999999998,1890.8714285714286,1869.95,1843.5690000000002,1876.9746,1868.833653006494,1857.8259025835996,1847.8079728261218
2023-06-04,1890.04,1892.05,1914.12,1884.54,183.07,-0.11,1892.05,1811.20,1842.006,1888.2557142857142,1878.3849999999998,1847.2155000000002,1872.9636,1872.0961679285717,1860.2121320218516,1849.4641307545091
2023-06-05,1811.20,1890.00,1890.53,1782.82,588.61,-4.17,1890.04,1884.17,1839.1633333333334,1876.6257142857144,1876.725,1846.5765,1866.8018,1862.7275267087916,1856.5816037239365,1847.9635766072736
2023-06-06,1884.17,1811.19,1895.79,1800.75,518.57,4.03,1811.20,1832.10,1839.6026666666667,1874.2800000000002,1882.1509999999998,1849.6985,1862.9904000000001,1866.0263687535928,1858.6251886332745,1849.3834363481649
2023-06-07,1832.10,1884.63,1893.73,1823.42,454.83,-2.76,1884.17,1845.68,1839.09,1868.347142857143,1874.5260000000003,1851.2540000000001,1857.5656000000004,1860.8069274068862,1856.6603598456245,1848.7056545305898
2023-06-08,1845.68,1832.10,1860.53,1829.38,202.78,0.74,1832.10,1840.41,1839.0606666666667,1866.0485714285714,1869.833,1852.922,1855.7598,1858.4797078058268,1855.8469998570597,1848.5870014117431
2023-06-09,1840.41,1845.68,1854.72,1828.66,215.71,-0.29,1845.68,1751.56,1839.043666666667,1856.5214285714287,1863.815,1853.9585,1853.7136,1855.6997527587766,1854.7035183861663,1848.266334689714
2023-06-10,1751.56,1840.41,1844.23,1719.16,696.59,-4.83,1840.41,1752.80,1837.6053333333334,1836.4514285714286,1851.6079999999997,1851.292,1851.7486000000001,1839.6782523343495,1847.0632577649687,1844.4739294077647
2023-06-11,1752.80,1751.56,1775.87,1740.02,232.04,0.07,1751.56,1742.60,1835.7883333333332,1816.8457142857144,1840.7109999999998,1848.0724999999998,1849.3256,1826.312367359834,1840.080794226823,1840.8788733525582
2023-06-12,1742.60,1752.80,1757.79,1722.92,320.47,-0.58,1752.80,1739.60,1834.0433333333335,1807.0457142857142,1824.261,1842.4985000000001,1846.9366,1813.4335416121673,1832.8599946544657,1837.024799887752
2023-06-13,1739.60,1742.60,1763.15,1727.64,303.23,-0.17,1742.60,1650.96,1832.0513333333333,1786.392857142857,1809.016,1839.4829999999997,1844.891,1802.0745352102954,1825.951846902283,1833.204219499997
2023-06-14,1650.96,1739.60,1749.90,1636.49,451.13,-5.1,1739.60,1666.96,1826.513,1760.515714285714,1785.1079999999997,1831.7464999999997,1840.5911999999998,1778.8261451779422,1812.9894878724842,1826.0573873627422
2023-06-15,1666.96,1650.96,1678.94,1632.50,397.40,0.97,1650.96,1717.92,1821.279,1734.984285714286,1770.684,1823.7045000000003,1836.6094,1761.6159689967203,1802.1724887708187,1819.818274132831
2023-06-16,1717.92,1666.96,1728.35,1653.68,333.35,3.06,1666.96,1727.79,1817.8186666666666,1717.4857142857143,1754.059,1818.105,1832.7916,1754.893512227994,1795.931563676684,1815.822263382524
2023-06-17,1727.79,1717.92,1764.06,1714.30,227.93,0.57,1717.92,1720.98,1815.3786666666667,1714.09,1743.628,1809.077,1829.5246000000002,1750.723741115995,1790.884040441374,1812.37001775968
2023-06-18,1720.98,1727.79,1746.40,1715.90,167.46,-0.39,1727.79,1737.06,1812.334,1709.544285714286,1731.1580000000001,1800.4954999999998,1825.7882,1746.1477809443033,1785.7059633716426,1808.7860954945945
2023-06-19,1737.06,1720.98,1748.05,1706.40,263.64,0.93,1720.98,1791.61,1809.5800000000002,1708.7528571428572,1720.8229999999999,1792.3190000000002,1823.1517999999999,1744.7496607990258,1782.1025586774467,1805.9733074359829
2023-06-20,1791.61,1737.06,1793.35,1715.20,359.77,3.14,1737.06,1889.87,1809.1373333333333,1716.182857142857,1724.828,1788.2179999999996,1822.369,1751.958943753022,1782.8068135902286,1805.4100404777091
2023-06-21,1889.87,1791.64,1899.11,1787.59,653.63,5.48,1791.61,1872.32,1811.5600000000002,1750.3128571428572,1738.5349999999999,1789.623,1822.7716,1773.1760293294801,1790.7374199909523,1808.722195753093
2023-06-22,1872.32,1889.87,1931.60,1866.66,438.75,-0.93,1889.87,1891.97,1812.1680000000001,1779.6499999999999,1751.507,1787.884,1822.1232,1788.4289478941755,1796.7805740656966,1811.2162272921876
2023-06-23,1891.97,1872.29,1932.23,1864.60,428.03,1.05,1872.32,1875.00,1815.2366666666667,1804.5142857142855,1766.744,1787.8799999999999,1822.4214000000002,1804.3583405258407,1803.8316426534227,1814.3830419081803
2023-06-24,1875.00,1891.98,1904.04,1865.77,239.37,-0.9,1891.97,1898.80,1817.5469999999998,1825.5442857142857,1789.148,1787.128,1820.0548000000001,1815.2262881372499,1809.1033728272432,1816.7601775196242
