Date,Open,High,Low,Close,Adj Close,Volume,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average,10-day SMA,20-day SMA,50-day SMA,12-day EMA,26-day EMA,50-day EMA
2023-01-01,1196.713623,1203.475342,1192.885376,1200.964844,1200.964844,2399674550,1196.77124,1214.656616,1232.689005533333,1204.0451834285716,1208.8586304,1217.1518920499998,1223.3869604600002,1208.1090322457187,1221.8327256138477,1249.5316803399019
2023-01-02,1201.103271,1219.860596,1195.214966,1214.656616,1214.656616,3765758498,1200.964844,1214.778809,1231.7330647666665,1202.285505,1208.3083496000002,1211.8572631499999,1223.2437085000001,1209.1163528233003,1221.301161938748,1248.164030757945
2023-01-03,1214.744019,1219.095337,1207.491577,1214.778809,1214.778809,3392972131,1214.656616,1256.526611,1229.550472,1202.5693882857142,1207.6713745000002,1207.12976685,1222.7071997199998,1209.987499927408,1220.8180246840259,1246.8548063752808
2023-01-04,1214.718628,1264.807495,1213.168823,1256.526611,1256.526611,6404416893,1214.778809,1250.438599,1229.4454670999999,1212.0751778571428,1211.4278319999999,1206.6384033,1222.80300782,1217.1473631693452,1223.4631051518759,1247.234092831152
2023-01-05,1256.484619,1258.571533,1245.173096,1250.438599,1250.438599,4001786456,1256.526611,1269.379028,1228.7382934333334,1219.0527867142857,1213.7742554000001,1210.7473633,1223.49972902,1222.2690917586767,1225.4612898813666,1247.3597597397345
2023-01-06,1250.458984,1273.220337,1240.94751,1269.379028,1269.379028,4977252792,1250.438599,1264.270386,1229.9696777,1229.0736781428573,1219.4329956,1214.8088378999998,1224.8711377000002,1229.5167742573417,1228.714455667932,1248.2232604558233
2023-01-07,1269.4198,1270.598267,1262.271118,1264.270386,1264.270386,2565213548,1269.379028,1287.359497,1229.4081461333335,1238.7164132857142,1226.8614258,1218.7865967,1225.91053956,1234.8634837562122,1231.348228285122,1248.8525594967714
2023-01-08,1264.181885,1287.359497,1260.226807,1287.359497,1287.359497,3495088905,1264.270386,1321.53894,1230.1773030333331,1251.0585065714288,1235.4378418000001,1224.7740784,1227.28919434,1242.9397934860256,1235.4972111528907,1250.3626354772903
2023-01-09,1287.450806,1342.144165,1286.680786,1321.53894,1321.53894,7990438824,1287.359497,1336.58606,1232.0157958666666,1266.32741,1247.668457,1229.96584475,1230.87063964,1255.0319698727908,1241.8706725489728,1253.1538631056317
2023-01-10,1321.395508,1342.757202,1318.527222,1336.58606,1336.58606,5830173253,1321.53894,1387.932739,1234.4397135333334,1283.7284458571428,1261.649939,1236.11514895,1235.4353002999999,1267.5787529692843,1248.8866271749748,1256.4257139642345
