Date,Open,High,Low,Close,Adj Close,Volume,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average,10-day SMA,20-day SMA,50-day SMA,12-day EMA,26-day EMA,50-day EMA
2019-02-20,145.172729,149.554337,142.502121,149.554337,149.554337,4500094965,145.346191,146.130844,118.31741893333333,134.47836957142857,130.77728729999998,121.07652095,125.08248404,131.5733152333556,125.68362800693399,127.77689889118554
2019-02-21,149.352325,149.352325,144.563812,146.130844,146.130844,3995766856,149.554337,149.092453,119.23019536666668,138.01274657142858,133.2605324,123.00257380000001,124.90414724,133.81293504360858,127.19823659901294,128.49666144447238
2019-02-22,146.073257,149.268616,145.206543,149.092453,149.092453,3731099284,146.130844,158.795425,120.28485693333333,141.86875585714287,135.9125488,124.93568344999998,124.9032961,136.16363011382265,128.82003040649346,129.30433954468916
2019-02-23,148.67662,159.12587,147.331055,158.795425,158.795425,4519468458,149.092453,135.852661,121.66594160000001,146.9452142857143,139.5367309,127.50082130000001,124.9875658,139.6454447116961,131.04043000601246,130.4608526997994
2019-02-24,158.902405,165.549622,135.852661,135.852661,135.852661,5957715043,158.795425,139.822861,122.31508556666668,147.26718342857143,140.9829765,128.90237425,124.5918471,139.0619395252813,131.39689156112263,130.67229616255236
2019-02-25,135.499725,142.525574,135.483841,139.822861,139.822861,4914392068,135.852661,138.089676,123.09288963333333,146.3706817142857,142.7552238,130.52134130000002,124.23338030000001,139.1790043675457,132.02103744548393,131.03114184245226
2019-02-26,139.646088,139.97644,136.579605,138.089676,138.089676,3791292839,139.822861,136.125961,123.91570253333333,145.3340367142857,144.23816979999998,132.17986065,123.96118944,139.01141538792328,132.47056622729994,131.30794710353257
2019-02-27,138.029572,141.336227,131.602921,136.125961,136.125961,4469776860,138.089676,136.746246,124.90023546666666,143.4156972857143,144.4908782,133.75939365,123.67651598,138.56749932824277,132.7413362104629,131.49688882496267
2019-02-28,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953,136.125961,136.443619,125.93850323333335,142.07504042857144,143.55566549999998,134.63331865,123.39537858,138.28730650851313,133.03799619487305,131.70274596908178
2019-03-01,136.836243,138.99527,136.434784,136.443619,136.443619,3756124824,136.746246,134.206955,126.85637256666665,140.26806414285713,142.6654083,135.48395535,123.55174729999999,138.0036622764342,133.2902645508084,131.88866255852955
2019-03-02,136.350082,137.184799,132.436386,134.206955,134.206955,3747176425,136.443619,132.24942,127.76123733333334,136.7554255714286,141.1306701,135.9539787,123.68491990000001,137.4195534646751,133.35816754704481,131.97957598760684
2019-03-03,134.786118,135.849289,131.328857,132.24942,132.24942,3454374053,134.206955,127.774124,128.58255843333333,136.24067685714286,139.7425277,136.50153004999999,123.8105777,136.62414831626353,133.27603809911557,131.9901581057399
2019-03-04,132.157883,132.729141,125.402702,127.774124,127.774124,4008171341,132.24942,137.822388,129.16068723333333,134.51942871428574,137.6106948,136.7616218,124.02810410000001,135.26260611376145,132.86848890658848,131.82482343492657
2019-03-05,127.792953,138.22998,126.735298,137.822388,137.822388,4764849990,127.774124,138.789352,130.1716779,134.4812447142857,135.5133911,137.525061,124.20317733999998,135.6564187116443,133.23544439498934,132.0600220453216
2019-03-06,137.95874,139.968826,136.14592,138.789352,138.789352,4589054219,137.822388,138.0345,131.20393623333334,134.86172914285714,135.8070602,138.39501835,124.53831008000002,136.1384084483144,133.64684495832347,132.32391733766192
2019-03-07,138.942383,140.85788,137.273132,138.0345,138.0345,4339206292,138.789352,135.127075,132.22363556666667,135.04576542857143,135.6282241,139.19172395,124.82805876,136.43011484088143,133.97185644289212,132.54786175579284
2019-03-08,138.311356,139.4991,133.557693,135.127075,135.127075,4678816794,138.0345,137.965332,133.23056176666668,134.8576877142857,135.331964,139.7850669,125.05576186,136.22964717305354,134.05742818786308,132.64900737321273
2019-03-09,134.887558,139.119415,134.677124,137.965332,137.965332,5011918715,135.127075,136.758682,134.34489613333332,135.3945987142857,135.5159011,140.00338965,125.39486326000001,136.49667560796837,134.34690254431766,132.85749069191027
2019-03-10,138.180496,138.270309,135.685684,136.758682,136.758682,4578438499,137.965332,133.83403,134.92792733333332,136.038779,135.51714470000002,139.5364051,125.6396565,136.53698428366553,134.5255528743682,133.01047858634516
2019-03-11,136.849533,137.353409,133.102798,133.83403,133.83403,4689807419,136.758682,134.442886,135.40803216666666,136.90447985714286,135.2561858,138.96079705,125.92684048,136.1211451631016,134.47432895774833,133.04277472021397
2019-03-12,134.012848,135.273468,130.944153,134.442886,134.442886,4709988000,133.83403,133.263077,135.72924543333335,136.42169385714286,135.27977889999997,138.2052245,126.27254116,135.86295144570136,134.47199984976697,133.09768104491147
2019-03-13,134.611771,134.611771,132.719727,133.263077,133.263077,4265162099,134.442886,133.711594,136.12806823333332,135.632226,135.3811446,137.56183615,126.56285168000001,135.4629707617473,134.3824500090435,133.1041671607973
2019-03-14,133.203903,135.180847,132.750076,133.711594,133.711594,4476532147,133.263077,137.691788,136.4993784,135.014668,135.9748916,136.7927932,126.88803143999999,135.19352818301695,134.33275697133658,133.12798782115817
2019-03-15,133.567154,138.395142,133.567154,137.691788,137.691788,4506861856,133.711594,142.398178,137.00398453333335,135.38105557142856,135.96183159999998,135.73761135,127.29460949999999,135.5778758471682,134.58157408457092,133.3069603771912
2019-03-16,137.911957,144.558441,137.911957,142.398178,142.398178,4839003569,137.691788,140.000549,137.70425029999998,136.01431928571427,136.3227142,136.0648872,127.81500622,136.62715310145,135.16058178201013,133.66347871534055
