"Category","East","West","Transactions"
"Monday",0.4707323614023112,0.5292676385976888,82036
"Tuesday",0.4997180860606371,0.5002819139393628,78038
"Wednesday",0.47447795823665895,0.525522041763341,74994
"Thursday",0.4977858071338871,0.5022141928661129,90778
"Friday",0.48881146838768635,0.5111885316123137,87545
"Saturday",0.4904886674734752,0.5095113325265248,85109
"Sunday",0.4720529318926794,0.5279470681073206,82370
