,Time,prices,MCap,Volume,Open,High,Low,Close
0,1518566400000,839.535,0.0,54776.5,,,,
1,1518652800000,947.358,0.0,111096.0,,,,
2,1518739200000,886.961,0.0,57731.7,,,,
3,1518825600000,1046.95,0.0,33027.0,,,,
4,1518912000000,902.619,0.0,56664.5,,,,
5,1518998400000,911.824,0.0,70927.0,,,,
6,1519084800000,942.094,0.0,54353.8,,,,
7,1519171200000,900.44,0.0,60070.4,,,,
8,1519257600000,800.297,0.0,331658.0,,,,
9,1519344000000,800.834,0.0,328978.0,,,,
10,1519430400000,849.723,0.0,168166.0,,,,
11,1519516800000,841.38,0.0,110378.0,,,,
12,1519603200000,867.769,0.0,40399.9,,,,
13,1519689600000,867.062,0.0,83570.6,,,,
14,1519776000000,887.968,0.0,69771.0,,,,
15,1519862400000,855.604,0.0,190629.0,,,,
16,1519948800000,863.288,0.0,87931.7,,,,
17,1520035200000,855.938,0.0,237065.0,,,,
18,1520121600000,859.373,0.0,35098.4,,,,
19,1520208000000,863.354,0.0,57193.8,,,,
20,1520294400000,843.432,0.0,255446.0,,,,
21,1520380800000,813.638,0.0,765982.0,,,,
22,1520467200000,791.244,0.0,459125.0,,,,
23,1520553600000,735.843,0.0,456047.0,,,,
24,1520640000000,731.688,0.0,479638.0,,,,
25,1520726400000,706.786,0.0,171021.0,,,,
26,1520812800000,764.095,0.0,34644.9,,,,
27,1520899200000,711.436,0.0,39908.0,,,,
28,1520985600000,711.252,0.0,140325.0,,,,
29,1521072000000,606.399,0.0,791664.0,,,,
30,1521158400000,598.073,0.0,187397.0,,,,
31,1521244800000,603.341,0.0,235162.0,,,,
32,1521331200000,560.216,0.0,115727.0,,,,
33,1521417600000,530.753,0.0,2082200.0,,,,
34,1521504000000,554.716,0.0,284607.0,,,,
35,1521590400000,555.961,0.0,155602.0,,,,
36,1521676800000,550.086,0.0,112601.0,,,,
37,1521763200000,532.655,0.0,134257.0,,,,
38,1521849600000,525.36,0.0,81421.1,,,,
39,1521936000000,536.359,0.0,53383.9,,,,
40,1522022400000,518.049,0.0,30096.1,,,,
41,1522108800000,433.26,0.0,216062.0,,,,
42,1522195200000,447.701,0.0,200398.0,,,,
43,1522281600000,450.435,0.0,63604.4,,,,
44,1522368000000,379.037,0.0,284690.0,,,,
45,1522454400000,401.182,0.0,265677.0,,,,
46,1522540800000,390.982,0.0,118826.0,,,,
47,1522627200000,377.483,0.0,119027.0,,,,
48,1522713600000,378.11,0.0,73877.6,,,,
49,1522800000000,407.264,0.0,232950.0,,,,
50,1522886400000,367.353,0.0,282664.0,,,,
51,1522972800000,379.023,0.0,136153.0,,,,
52,1523059200000,367.39,0.0,1839340.0,,,,
53,1523145600000,387.417,0.0,1421670.0,,,,
54,1523232000000,399.508,0.0,2174190.0,,,,
55,1523318400000,395.174,0.0,2307290.0,,,,
56,1523404800000,412.829,0.0,39035.9,,,,
57,1523491200000,431.934,0.0,225275.0,,,,
58,1523577600000,491.335,0.0,446075.0,,,,
59,1523664000000,498.29,0.0,912787.0,,,,
60,1523750400000,503.685,0.0,9501240.0,,,,
61,1523836800000,529.766,0.0,7688160.0,,,,
62,1523923200000,512.173,0.0,5239500.0,,,,
63,1524009600000,502.358,0.0,6022500.0,,,,
64,1524096000000,531.605,0.0,7610920.0,,,,
65,1524182400000,565.101,0.0,12252600.0,,,,
66,1524268800000,586.444,0.0,7925930.0,,,,
67,1524355200000,597.39,0.0,7822970.0,,,,
68,1524441600000,621.026,0.0,10596800.0,,,,
69,1524528000000,638.75,0.0,458125.0,,,,
70,1524614400000,711.146,0.0,1981240.0,,,,
71,1524700800000,614.508,0.0,1662530.0,,,,
72,1524787200000,657.383,0.0,2480990.0,,,,
