"DateTime","Number of Transactions","Price"
"2018-04-30 00:00:00",61.42857142857143,
"2018-05-07 00:00:00",26.142857142857142,
"2018-05-14 00:00:00",23.428571428571427,
"2018-05-21 00:00:00",31.285714285714285,
"2018-05-28 00:00:00",35.857142857142854,
"2018-06-04 00:00:00",23,
"2018-06-11 00:00:00",18.428571428571427,
"2018-06-18 00:00:00",28,
"2018-06-25 00:00:00",30,
"2018-07-02 00:00:00",17.571428571428573,
"2018-07-09 00:00:00",16,
"2018-07-16 00:00:00",29,
"2018-07-23 00:00:00",157.71428571428572,
"2018-07-30 00:00:00",823.1428571428571,
"2018-08-06 00:00:00",539.8571428571429,
"2018-08-13 00:00:00",1155.142857142857,
"2018-08-20 00:00:00",6878.857142857143,
"2018-08-27 00:00:00",3308.1428571428573,
"2018-09-03 00:00:00",4165.571428571428,
"2018-09-10 00:00:00",8323.57142857143,
"2018-09-17 00:00:00",7097.285714285715,
"2018-09-24 00:00:00",9141.714285714286,
"2018-10-01 00:00:00",1781.5714285714287,
"2018-10-08 00:00:00",46.57142857142857,
"2018-10-15 00:00:00",39.857142857142854,
"2018-10-22 00:00:00",40,
"2018-10-29 00:00:00",35.142857142857146,
"2018-11-05 00:00:00",34.57142857142857,
"2018-11-12 00:00:00",74.71428571428571,
"2018-11-19 00:00:00",32,
"2018-11-26 00:00:00",45.714285714285715,
"2018-12-03 00:00:00",36.57142857142857,
"2018-12-10 00:00:00",36.142857142857146,
"2018-12-17 00:00:00",116.71428571428571,
"2018-12-24 00:00:00",96.42857142857143,
"2018-12-31 00:00:00",63.714285714285715,1.9037142857142857
"2019-01-07 00:00:00",138.14285714285714,2.692214285714286
"2019-01-14 00:00:00",92.14285714285714,2.4376428571428574
"2019-01-21 00:00:00",69.57142857142857,2.1580000000000004
"2019-01-28 00:00:00",118.71428571428571,2.7550714285714286
"2019-02-04 00:00:00",260.85714285714283,4.725071428571428
"2019-02-11 00:00:00",187,5.097428571428572
"2019-02-18 00:00:00",211.71428571428572,5.655857142857143
"2019-02-25 00:00:00",336.42857142857144,6.361
"2019-03-04 00:00:00",745,6.5972857142857135
"2019-03-11 00:00:00",301,6.790642857142856
"2019-03-18 00:00:00",1770.5714285714287,7.196642857142857
"2019-03-25 00:00:00",327.7142857142857,7.219714285714287
"2019-04-01 00:00:00",1021.1428571428571,8.228428571428571
"2019-04-08 00:00:00",339.42857142857144,7.785214285714285
"2019-04-15 00:00:00",255.42857142857142,7.682642857142857
"2019-04-22 00:00:00",255.42857142857142,7.466142857142858
"2019-04-29 00:00:00",409.2857142857143,7.6713571428571425
"2019-05-06 00:00:00",357.85714285714283,8.290214285714285
"2019-05-13 00:00:00",365.42857142857144,7.783571428571428
"2019-05-20 00:00:00",253.42857142857142,6.582714285714286
"2019-05-27 00:00:00",486,6.231642857142857
"2019-06-03 00:00:00",195.28571428571428,5.233928571428571
"2019-06-10 00:00:00",218.71428571428572,5.582714285714286
"2019-06-17 00:00:00",279.85714285714283,7.165285714285714
"2019-06-24 00:00:00",284.2857142857143,7.603714285714285
"2019-07-01 00:00:00",186.42857142857142,5.987928571428571
"2019-07-08 00:00:00",231.14285714285714,6.307928571428571
"2019-07-15 00:00:00",214.28571428571428,6.317142857142857
"2019-07-22 00:00:00",203.28571428571428,6.354
"2019-07-29 00:00:00",331.85714285714283,7.536357142857143
"2019-08-05 00:00:00",234.85714285714286,7.136857142857143
"2019-08-12 00:00:00",194.42857142857142,6.550571428571429
"2019-08-19 00:00:00",171,6.426714285714286
"2019-08-26 00:00:00",160.85714285714286,5.871857142857143
"2019-09-02 00:00:00",228.28571428571428,5.607214285714286
"2019-09-09 00:00:00",130.57142857142858,5.107214285714286
"2019-09-16 00:00:00",510.85714285714283,4.3689285714285715
"2019-09-23 00:00:00",126.28571428571429,3.6723571428571424
"2019-09-30 00:00:00",130.14285714285714,3.368785714285714
"2019-10-07 00:00:00",241.42857142857142,3.268714285714286
"2019-10-14 00:00:00",132,2.488142857142857
"2019-10-21 00:00:00",113.14285714285714,2.3886428571428566
"2019-10-28 00:00:00",114.71428571428571,2.5372857142857144
"2019-11-04 00:00:00",179.42857142857142,2.3945
"2019-11-11 00:00:00",123.71428571428571,2.3067857142857138
"2019-11-18 00:00:00",107.28571428571429,2.062928571428571
"2019-11-25 00:00:00",77.71428571428571,1.938
"2019-12-02 00:00:00",104.57142857142857,1.6761428571428572
"2019-12-09 00:00:00",73.14285714285714,1.41165
"2019-12-16 00:00:00",68,1.3277142857142858
"2019-12-23 00:00:00",78.85714285714286,1.294
"2019-12-30 00:00:00",82.28571428571429,1.321142857142857
"2020-01-06 00:00:00",146.42857142857142,1.5032857142857143
"2020-01-13 00:00:00",133.71428571428572,1.904714285714286
"2020-01-20 00:00:00",111.57142857142857,2.2355714285714283
"2020-01-27 00:00:00",202.28571428571428,2.5005714285714284
"2020-02-03 00:00:00",144.42857142857142,2.0135
"2020-02-10 00:00:00",135.85714285714286,1.7870714285714284
"2020-02-17 00:00:00",120.71428571428571,1.548714285714286
"2020-02-24 00:00:00",126.85714285714286,1.5017142857142858
"2020-03-02 00:00:00",123.57142857142857,1.4438571428571427
"2020-03-09 00:00:00",114.42857142857143,0.8412999999999998
"2020-03-16 00:00:00",104.28571428571429,0.6442928571428571
"2020-03-23 00:00:00",122.14285714285714,0.6663500000000001
"2020-03-30 00:00:00",99.57142857142857,0.6301928571428571
"2020-04-06 00:00:00",85.28571428571429,0.5783142857142857
"2020-04-13 00:00:00",175.28571428571428,0.5323785714285715
