"DateTime","Volatility","Price"
"2018-12-31 00:00:00",1.077522159654175,3.1892500000000004
"2019-01-07 00:00:00",0.9683612033805191,2.692214285714286
"2019-01-14 00:00:00",0.9708879350485476,2.4376428571428574
"2019-01-21 00:00:00",0.9735625884629823,2.1580000000000004
"2019-01-28 00:00:00",1.6843197034302142,2.7550714285714286
"2019-02-04 00:00:00",2.7420165349864263,4.725071428571428
"2019-02-11 00:00:00",2.8547923317180093,5.097428571428572
"2019-02-18 00:00:00",2.8599085123440995,5.655857142857143
"2019-02-25 00:00:00",2.7615333349763493,6.361
"2019-03-04 00:00:00",1.846571623270205,6.5972857142857135
"2019-03-11 00:00:00",1.5953237203425346,6.790642857142856
"2019-03-18 00:00:00",1.4562178979890048,7.196642857142857
"2019-03-25 00:00:00",1.3711821399077386,7.219714285714287
"2019-04-01 00:00:00",0.9293285873024928,8.228428571428571
"2019-04-08 00:00:00",0.9123274224386597,7.785214285714285
"2019-04-15 00:00:00",0.8822079084826205,7.682642857142857
"2019-04-22 00:00:00",0.8200748121873519,7.466142857142858
"2019-04-29 00:00:00",0.7923676846023067,7.6713571428571425
"2019-05-06 00:00:00",0.6985521862263333,8.290214285714285
"2019-05-13 00:00:00",0.8490880616600792,7.783571428571428
"2019-05-20 00:00:00",1.022084549350197,6.582714285714286
"2019-05-27 00:00:00",1.0598972803248305,6.231642857142857
"2019-06-03 00:00:00",1.0927953097646246,5.233928571428571
"2019-06-10 00:00:00",1.1503164923658313,5.582714285714286
"2019-06-17 00:00:00",1.1734784048161484,7.165285714285714
"2019-06-24 00:00:00",1.2805169989138112,7.603714285714285
"2019-07-01 00:00:00",1.5539536165757575,5.987928571428571
"2019-07-08 00:00:00",1.6255820580383156,6.307928571428571
"2019-07-15 00:00:00",1.7268740765902135,6.317142857142857
"2019-07-22 00:00:00",1.7411128677881536,6.354
"2019-07-29 00:00:00",1.4910883771496712,7.536357142857143
"2019-08-05 00:00:00",1.271402192265698,7.136857142857143
"2019-08-12 00:00:00",1.0248844976416185,6.550571428571429
"2019-08-19 00:00:00",0.6865289999197489,6.426714285714286
"2019-08-26 00:00:00",0.6924026871580384,5.871857142857143
"2019-09-02 00:00:00",0.7421166486376775,5.607214285714286
"2019-09-09 00:00:00",0.7538662528665533,5.107214285714286
"2019-09-16 00:00:00",0.755487953344843,4.3689285714285715
"2019-09-23 00:00:00",0.8309951515011101,3.6723571428571424
"2019-09-30 00:00:00",0.7380516531354423,3.368785714285714
"2019-10-07 00:00:00",0.7370389837595435,3.268714285714286
"2019-10-14 00:00:00",0.8193961669246297,2.488142857142857
"2019-10-21 00:00:00",1.00213284276617,2.3886428571428566
"2019-10-28 00:00:00",1.1851318044564432,2.5372857142857144
"2019-11-04 00:00:00",1.2182198564651685,2.3945
"2019-11-11 00:00:00",1.2163657594752026,2.3067857142857138
"2019-11-18 00:00:00",1.0947730854090523,2.062928571428571
"2019-11-25 00:00:00",0.8178005789418127,1.938
"2019-12-02 00:00:00",0.8333914985953192,1.6761428571428572
"2019-12-09 00:00:00",1.1303085812709974,1.41165
"2019-12-16 00:00:00",1.218082411476605,1.3277142857142858
"2019-12-23 00:00:00",1.2338337080629884,1.294
"2019-12-30 00:00:00",1.20633248755743,1.321142857142857
"2020-01-06 00:00:00",1.3002319297376737,1.5032857142857143
"2020-01-13 00:00:00",2.733982424135967,1.904714285714286
"2020-01-20 00:00:00",2.773682451398968,2.2355714285714283
"2020-01-27 00:00:00",2.799231817966817,2.5005714285714284
"2020-02-03 00:00:00",2.8372680247615127,2.0135
"2020-02-10 00:00:00",1.3544851286133108,1.7870714285714284
"2020-02-17 00:00:00",0.9947648882991096,1.548714285714286
"2020-02-24 00:00:00",0.8402547690783184,1.5017142857142858
"2020-03-02 00:00:00",0.7923565853358424,1.4438571428571427
"2020-03-09 00:00:00",1.6576344791542792,0.8412999999999998
"2020-03-16 00:00:00",2.4750324451006915,0.6442928571428571
"2020-03-23 00:00:00",2.598648229623694,0.6663500000000001
"2020-03-30 00:00:00",2.6370476991015983,0.6301928571428571
"2020-04-06 00:00:00",2.362817379403583,0.5783142857142857
"2020-04-13 00:00:00",1.3448005430616945,0.5323785714285715
"2020-04-20 00:00:00",1.032140284533372,0.5693071428571429
"2020-04-27 00:00:00",0.932073503973183,0.6856285714285714
"2020-05-04 00:00:00",1.327500012023403,1.0549071428571428
"2020-05-11 00:00:00",1.6110443524549314,1.650142857142857
"2020-05-18 00:00:00",1.7124031782228002,1.8952857142857142
"2020-05-25 00:00:00",1.7976279406793736,2.3854285714285717
"2020-06-01 00:00:00",1.7405405972808803,2.4517142857142855
"2020-06-08 00:00:00",2.525818785475674,3.054142857142857
"2020-06-15 00:00:00",2.9866565833752703,3.4367142857142854
"2020-06-22 00:00:00",3.215864847568299,2.6110714285714285
"2020-06-29 00:00:00",3.1927281168547372,2.0573571428571427
"2020-07-06 00:00:00",2.5637845136759907,2.152
"2020-07-13 00:00:00",1.627231458705668,2.0475000000000003
"2020-07-20 00:00:00",1.0532170781071568,1.6949285714285713
"2020-07-27 00:00:00",0.9833846491438248,1.9417857142857142
"2020-08-03 00:00:00",0.9279175138110256,1.9577142857142855
"2020-08-10 00:00:00",1.565650112210405,3.541357142857142
"2020-08-17 00:00:00",2.169630526733912,3.443357142857143
"2020-08-24 00:00:00",2.27250436569666,3.201714285714286
"2020-08-31 00:00:00",2.3667679870127505,3.0445
"2020-09-07 00:00:00",2.188682768480161,3.6629285714285715
"2020-09-14 00:00:00",1.4552876018712033,3.5960714285714284
