name;open;high;low;close;volume;marketCap;timestamp
"2781";220.2112161641;220.6709598377;219.8553361885;220.2657399893;10384437.68;570397517.09;"2023-12-13T17:00:00.000Z"
"2781";220.3270868799;221.372336769;220.3270868799;221.3228372103;10681937.72;573134963.37;"2023-12-13T18:00:00.000Z"
"2781";221.3288246587;224.8408985735;221.3288246587;224.8408985735;10847977.21;582245292.86;"2023-12-13T19:00:00.000Z"
"2781";224.800131262;225.4769099478;224.5643036461;225.4160815597;11064793.52;583734779.82;"2023-12-13T20:00:00.000Z"
"2781";225.4279790963;226.0219445012;225.2159876091;225.6871762213;11421198.49;584436803.3;"2023-12-13T21:00:00.000Z"
"2781";225.6775971504;227.0867309035;225.6660904311;226.5102347784;11611082.52;586568185.86;"2023-12-13T22:00:00.000Z"
"2781";226.4802812228;227.2669159652;226.2166847335;227.2669159652;11635173.3;588527678.39;"2023-12-13T23:00:00.000Z"
"2781";227.202809903;227.3231563187;226.2959440471;226.2959440471;11372972.28;586013261.16;"2023-12-14T00:00:00.000Z"
"2781";226.2808614046;226.4992672512;226.2123298733;226.4106397655;11359976.8;586310275.81;"2023-12-14T01:00:00.000Z"
"2781";226.3960997728;226.4411477249;226.0372381133;226.0372381133;10869359.22;585343319.38;"2023-12-14T02:00:00.000Z"
"2781";225.9276399459;226.1981531345;224.6157656093;224.6157656093;10832477.41;581662291.24;"2023-12-14T03:00:00.000Z"
"2781";224.5692308896;225.211389774;223.7467427159;224.4771535549;11135276.66;581303343.13;"2023-12-14T04:00:00.000Z"
"2781";224.430010688;224.6838709861;224.2295275034;224.5812638909;11390261.38;581572946;"2023-12-14T05:00:00.000Z"
"2781";224.5850078402;224.8702888073;223.6187653833;224.3761254201;11631207.19;581041721.88;"2023-12-14T06:00:00.000Z"
"2781";224.3623669187;224.4412375071;223.8894741684;223.9717864634;11749530.38;579994650.57;"2023-12-14T07:00:00.000Z"
"2781";223.9887805526;225.4778035878;223.9887805526;225.2425421069;12184580.39;583285384.13;"2023-12-14T08:00:00.000Z"
"2781";225.2666859012;226.2044073385;225.0063587046;225.08613177;12057048.13;582880345.8;"2023-12-14T09:00:00.000Z"
"2781";225.1017872784;225.3044674184;224.9923899099;225.0480190227;11486508.43;582781649.49;"2023-12-14T10:00:00.000Z"
"2781";225.0401129188;226.254387285;224.7146233138;226.2324656163;11232782.69;585848878.18;"2023-12-14T11:00:00.000Z"
"2781";226.2559430909;227.0391888907;226.2349540056;226.8161195533;11399894.34;587360301.41;"2023-12-14T12:00:00.000Z"
"2781";226.8096330574;226.8590302532;222.800327284;224.2693554969;11631502.54;580765231.77;"2023-12-14T13:00:00.000Z"
"2781";224.238794984;224.7550539706;223.9393352402;224.1163809698;11737819.81;580369090.77;"2023-12-14T14:00:00.000Z"
"2781";224.1182000049;224.3647665904;223.4256732265;223.4710914519;11842396.06;578698056.78;"2023-12-14T15:00:00.000Z"
