Adj Close,upper_shadow,lower_shadow,open2close,high2low,high2mean,low2mean,high2median,low2median,Price,Market_cap,Supply,BlockSize,BlockDifficulty,Hash_count,Growth Value
1071.13,1.0004222,1.0114828,0.9045713,1.1186625,1.0532713,0.9415452,1.0505486,0.93911123,1063.75,103516.37564960936,97312691.5625,25224,2596.25,210494.5728,906578
1118.31,1.009255,1.0353698,1.044086,1.0910199,1.0372379,0.9507049,1.0310222,0.94500774,1111.31,108167.39176184312,97333229.9375,24902,2626.765,215826.4032,877284
1036.79,1.0375032,1.0527722,0.9262264,1.1792523,1.0797408,0.9156147,1.0772392,0.9134934,1026.19,99903.46735281688,97353772.0625,26328,2666.119,221004.0257,1008759
915.785,1.0,1.2081915,0.8841586,1.3664873,1.1062063,0.8095255,1.0614817,0.7767959,917.47,89338.10329719968,97374413.65625,26186,2711.47,224386.69,981133
964.019,1.0289662,1.0843717,1.0487461,1.1701719,1.0657852,0.91079366,1.0534486,0.90025115,970.87,94557.6241849925,97394732.75,22592,2765.665,223750.0072,814486
834.682,1.0045248,1.0367897,0.86525404,1.2036707,1.0847034,0.9011629,1.0770917,0.8948392,827.59,80619.71972949312,97415048.1875,22742,2759.422,223628.198,800876
697.951,1.025975,1.0827677,0.8359115,1.3289596,1.1293375,0.84979075,1.1176736,0.841014,695.08,67725.59384456,97435682.0,24175,2786.247,229317.1819,875761
793.122,1.0041822,1.2320919,1.1206452,1.3865123,1.1093558,0.8001053,1.0613109,0.76545364,785.01,76503.98450626124,97456063.625,24934,2787.077,226643.546,888219
757.068,1.076885,1.0464936,0.957795,1.1766121,1.0905379,0.9268457,1.1000998,0.93497235,751.81,73283.80549149874,97476497.375,22972,2837.218,232001.6424,818625
817.807,1.0333563,1.0,1.08198,1.1180708,1.0648165,0.95236945,1.0740457,0.96062404,813.55,79318.58812228906,97496881.71875,20093,2821.72,229493.3998,681344
883.865,1.0001574,1.037582,1.079886,1.1206465,1.0476516,0.9348637,1.0385722,0.9267616,877.88,85608.35901635126,97517153.84375,22095,2877.238,232843.1343,789807
860.415,1.0395857,1.0421983,0.97501093,1.1112229,1.0527104,0.9473441,1.0527391,0.94737,850.75,82980.31870929686,97537841.5625,22121,2834.459,234466.2002,848390
814.66,1.0,1.0335413,0.9480639,1.0901599,1.0348324,0.9492482,1.0266603,0.9417521,811.24,79142.92421108375,97557965.84375,20982,2950.749,236401.4541,773496
868.707,1.0083227,1.0,1.0626281,1.071472,1.0367161,0.96756244,1.0389388,0.96963674,865.27,84431.70699980187,97578451.8125,22178,2943.733,241154.4129,829020
845.258,1.0016289,1.0198121,0.9723511,1.050519,1.0201339,0.9710761,1.01567,0.96682686,840.98,82078.719768325,97598896.25,20432,2971.561,242643.0985,745822
923.561,1.0031054,1.0,1.093905,1.097302,1.047242,0.954379,1.0480915,0.95515317,920.11,89820.17099186938,97618948.8125,21848,2952.817,236293.682,746384
936.976,1.015979,1.013848,1.0143418,1.044821,1.0225656,0.97869927,1.0232127,0.97931856,927.95,90604.62712113906,97639557.21875,21805,2892.302,238380.589,777318
944.21,1.0061374,1.0184541,1.0100814,1.0350353,1.0141908,0.9798612,1.0111836,0.9769558,938.02,91606.96704027688,97659929.46875,20711,2991.223,243106.1504,704758
974.115,1.0025458,1.0042455,1.0310845,1.0380981,1.0182909,0.9809198,1.0178893,0.98053277,974.77,95216.00206836968,97680480.59375,21891,2973.719,243542.0698,772079
923.921,1.0098464,1.0092589,0.94921863,1.0737215,1.0358527,0.9647312,1.0361551,0.9650129,913.9,89288.78550970626,97700826.6875,20735,3003.822,243539.0262,756092
943.865,1.0147394,1.0001237,1.0240835,1.0393064,1.0230299,0.9843391,1.0268133,0.9879793,939.79,91837.45488844812,97721251.4375,21811,2976.958,242911.4767,811384
895.371,1.0229957,1.0027068,0.94892144,1.0809796,1.0443321,0.966098,1.0498071,0.9711627,885.52,86552.1936563,97741658.75,24413,2932.875,239653.9119,886897
849.971,1.0203996,1.0233673,0.950607,1.0985019,1.0465884,0.9527416,1.046238,0.9524226,840.1,82130.13443061875,97762331.1875,23307,2911.436,241642.47,850504
812.845,1.0313966,1.0126789,0.95711917,1.0912681,1.0487931,0.96107733,1.0539948,0.965844,804.63,78678.91997604092,97782732.40625,21747,2981.197,243671.4308,761893
864.189,1.0256066,1.0211301,1.0648164,1.1151586,1.0561202,0.9470583,1.0578014,0.94856584,854.7,83592.56483149687,97803398.65625,20793,2967.712,245866.6703,733084
840.515,1.0208195,1.026834,0.975536,1.0744988,1.0346848,0.9629465,1.0334609,0.9618073,833.49,81535.22545468781,97823879.65625,21265,2974.925,244536.0463,732861
844.81,1.0098673,1.0207665,1.0063744,1.0374097,1.0157117,0.97908443,1.0130757,0.97654355,840.28,82216.4358840125,97844094.6875,20566,3096.446,250331.8931,690582
869.315,1.0127423,1.003513,1.0284368,1.0452002,1.0245146,0.9802089,1.02694,0.98252934,867.62,84909.1367566,97864430.0,21652,3030.533,247528.6317,737453
878.265,1.020488,1.0037689,1.0090767,1.0336318,1.0208002,0.98758596,1.0250984,0.9917444,871.58,85314.471244045,97884842.75,20964,2978.767,243300.4607,694583
855.199,1.0138665,1.0000876,0.9741039,1.040911,1.0235935,0.9833632,1.0271664,0.9867956,851.5,83366.4582115625,97905411.875,21593,3052.568,252048.8658,720368
872.2,1.0092891,1.0048033,1.0189109,1.0333153,1.0175625,0.98475504,1.018743,0.98589754,869.87,85182.71480331343,97925799.03125,20663,3103.058,253200.9448,684404
856.853,1.0052928,1.0051981,0.9828957,1.0281035,1.0139107,0.9861952,1.0139643,0.98624736,855.6,83803.0031544,97946474.0,22550,3077.244,255012.3761,744666
857.225,1.0130992,1.0017587,1.0006,1.0154898,1.0105362,0.9951219,1.013403,0.9979451,855.65,83825.38638106562,97966909.8125,21173,3190.815,260398.6003,673465
866.678,1.0014677,1.0189294,1.0122544,1.0329294,1.0118638,0.979606,1.0075666,0.97544557,864.83,84742.20971897781,97987130.09375,20794,3140.164,253539.203,643241
853.684,1.0035461,1.0001922,0.98481625,1.0192145,1.0103688,0.9913211,1.0112232,0.9921594,849.42,83249.48772774561,98007449.46875,22566,3135.226,254483.1024,752756
816.951,1.0,1.0086673,0.9568221,1.0541848,1.024217,0.9715725,1.0220653,0.9695314,815.69,79960.37255097624,98027893.625,21623,3118.411,255139.4372,712591
752.831,1.0114374,1.0361766,0.9222807,1.1363436,1.0580446,0.93109566,1.0523306,0.9260673,751.13,73647.17773881063,98048510.5625,22824,3194.249,263414.6349,783757
704.596,1.0281662,1.0121049,0.93625313,1.1114644,1.0573831,0.9513423,1.0620162,0.9555109,698.83,68533.42712561469,98068810.90625,21478,3237.862,262514.1983,690139
728.916,1.0003293,1.0834584,1.0380505,1.125055,1.0385447,0.9231057,1.0190054,0.90573835,726.92,71302.99051921375,98089185.21875,20374,3155.884,256561.6774,650058
686.89,1.0244755,1.0061448,0.9407391,1.095703,1.050688,0.9589167,1.0557581,0.963544,682.3,66940.2149625875,98109651.125,18862,3166.735,259056.4904,591377
